sector,GRANTEE,AMOUNT COMMITTED,percentage
growth,Bertha Voyer Memorial Library,7754.0,0.0
growth,Isabelle Hunt Memorial Public Library,7754.0,0.0
growth,Buna Public Library,7754.0,0.0
growth,Quemado Public Library,7754.0,0.0
growth,Mammoth Public Library,7754.0,0.0
growth,Carnegie Library Of Ballinger,7754.0,0.0
growth,"Blanco Library, Inc.",7754.0,0.0
growth,Mathis Public Library,7754.0,0.0
growth,Laguna Vista Public Library,7754.0,0.0
growth,Lucy Hill Patterson Memorial Library,7754.0,0.0
growth,Friona Public Library,7754.0,0.0
growth,Friench Simpson Memorial Library,7754.0,0.0
growth,Ash Fork Public Library,7754.0,0.0
growth,Leonard Public Library,7754.0,0.0
growth,Kendrick Memorial Library,7754.0,0.0
growth,Copper Queen Library,7754.0,0.0
growth,Arthur E. Pomeroy Public Library,7754.0,0.0
growth,Hayden Public Library,7754.0,0.0
growth,Della Mae Baylor Public Library,7754.0,0.0
growth,Post Public Library,7754.0,0.0
education,Corwith Public Library,7753.0,0.0
education,Algona Public Library,7740.0,0.0
education,Patterson Memorial Library,7728.0,0.0
education,Argyle Public Library,7728.0,0.0
education,Mill Pond Public Library,7728.0,0.0
education,Coloma Library,7728.0,0.0
education,Endeavor Public Library,7728.0,0.0
education,Conejos County Library,7724.0,0.0
education,Dolores Public Library District (Montezuma),7724.0,0.0
education,Aguilar Public Library,7724.0,0.0
education,Columbia Cnty Traveling Lib,7719.0,0.0
growth,Morton Township Public Library,7704.0,0.0
growth,Chase Township Public Library,7704.0,0.0
growth,West Branch Public Library,7704.0,0.0
education,La Valle Public Library,7700.0,0.0
education,Mechanicsville Public Library,7700.0,0.0
education,Doon Public Library,7700.0,0.0
education,Swea City Public Library,7700.0,0.0
education,Larchwood Public Library,7700.0,0.0
education,Lenox Public Library,7700.0,0.0
education,Edgewood Public Library,7700.0,0.0
education,What Cheer Public Library,7700.0,0.0
education,Marengo Public Library,7700.0,0.0
education,Eldon Public Library,7700.0,0.0
education,Leon Public Library,7700.0,0.0
education,Avoca Public Library,7700.0,0.0
education,Audubon Public Library,7700.0,0.0
education,Manning Public Library,7700.0,0.0
education,Maynard Community Library,7700.0,0.0
education,Edna Zybell Memorial Library,7700.0,0.0
education,Coon Rapids Public Library,7700.0,0.0
education,Elberon Public Library,7700.0,0.0
education,Tipton Public Library,7700.0,0.0
education,Norway Public Library,7700.0,0.0
education,Brenizer Public Library,7700.0,0.0
education,Kanawha Public Library,7700.0,0.0
education,Bethlehem Public Library,7700.0,0.0
education,Pease Public Library,7700.0,0.0
education,Boyden Public Library,7699.0,0.0
education,Clutier Public Library,7690.0,0.0
education,Ackley Public Library,7690.0,0.0
education,Dwight T Parker Public Library,7690.0,0.0
education,Winside Public Library,7690.0,0.0
education,Ethel Everhard Memorial Library,7684.0,0.0
education,President Millard Fillmore Library,7673.0,0.0
growth,Spencer County Public Library,7663.0,0.0
education,Muscoda Public Library,7659.0,0.0
education,Mondamin Public Library,7659.0,0.0
education,Lincoln Township Library,7659.0,0.0
education,Woodbine Carnegie Public Library,7659.0,0.0
education,East Grand Forks Public Library,7655.0,0.0
education,Calumet Public Library,7655.0,0.0
education,St. Charles Public Library,7655.0,0.0
education,Rushford Public Library,7655.0,0.0
education,Owatonna Public Library,7655.0,0.0
education,Pipestone  Community Library,7655.0,0.0
education,Comfrey Community Library,7655.0,0.0
education,Ely Public Library,7655.0,0.0
education,Wabasso Public Library,7655.0,0.0
education,East Cheyenne County Library District,7655.0,0.0
education,Butch McClanahan Memorial Library,7655.0,0.0
education,Keewatin Public Library,7655.0,0.0
education,Wabasha Public Library,7655.0,0.0
education,Holly Public Library,7655.0,0.0
education,Hoyt Lakes Public Library,7655.0,0.0
education,Morgan Public Library,7655.0,0.0
education,Baudette Public Library,7655.0,0.0
education,Runals Memorial Library,7655.0,0.0
education,Northern Chaffee County Library District,7655.0,0.0
education,Moose Lake Public Library,7655.0,0.0
education,Mountain Lake Public Library,7655.0,0.0
education,Harmony Public Library,7655.0,0.0
education,Spring Grove Public Library,7655.0,0.0
education,Morris Public Library,7655.0,0.0
education,Fleming Community Library,7655.0,0.0
education,Dyckman Free  Library,7655.0,0.0
education,Yuma Public Library,7655.0,0.0
education,Manzanola Public Library,7655.0,0.0
education,Windom Public Library,7655.0,0.0
education,Chisholm Public Library,7655.0,0.0
education,Bovey Public Library,7655.0,0.0
education,Lamberton Public Library,7655.0,0.0
education,East Routt Library District,7655.0,0.0
education,Idaho Springs Public Library,7655.0,0.0
education,Rock County Community  Library,7655.0,0.0
education,Wells Public Library,7655.0,0.0
education,Minneota Public Library,7655.0,0.0
education,Upper San Juan Library District,7655.0,0.0
education,Chatfield Public Library,7655.0,0.0
education,Penrose Community Library District,7655.0,0.0
education,Mabel Public Library,7655.0,0.0
education,Spanish Peaks Library District,7655.0,0.0
education,Perham Public Library,7655.0,0.0
education,Leroy Public Library,7655.0,0.0
education,Mancos Public Library,7655.0,0.0
growth,Panasoffkee Community Library,7651.0,0.0
growth,E.C. Rowell Public Library,7651.0,0.0
education,Agness Community Library District,7648.0,0.0
education,Port Orford Public Library,7648.0,0.0
education,"Randolph-decker Public Library, Clyde",7648.0,0.0
education,Brownsville Community Library,7619.0,0.0
education,Shenandoah Public Library,7615.0,0.0
education,Mary Barnett Memorial Library,7615.0,0.0
education,Elm Creek Township Library Wilsey,7609.0,0.0
education,Dakota Club Public Library,7600.0,0.0
education,Hildebrand Memorial Library,7590.0,0.0
education,Scott County Library System,7590.0,0.0
education,Garnavillo Public Library,7590.0,0.0
education,Clintonville Public Library,7590.0,0.0
education,Owen Public Library,7590.0,0.0
education,Lac Courte Oreilles Ojibwa Community College Library,7590.0,0.0
education,Schreiner Memorial Library,7590.0,0.0
education,Wautoma Public Library,7590.0,0.0
education,Webb Public Library,7590.0,0.0
education,Shullsburg Public Library,7590.0,0.0
education,Van Horne Public Library,7590.0,0.0
education,Corning Public Library,7590.0,0.0
education,Walter E Olson Memorial Library,7590.0,0.0
education,Packwaukee Public Library,7590.0,0.0
education,Irma Stein Memorial Library,7590.0,0.0
education,Belle Plaine Community Library,7590.0,0.0
education,Belmont Public Library,7590.0,0.0
education,Hatch Public Library,7590.0,0.0
education,Whiting Public Library,7590.0,0.0
education,Dunlap Public Library,7590.0,0.0
education,Inwood Public Library,7590.0,0.0
education,Alma Public Library,7590.0,0.0
education,Drummond Public Library,7590.0,0.0
education,Marble Rock Public Library,7590.0,0.0
education,Withee Public Library,7590.0,0.0
education,Sioux Center Public Library,7590.0,0.0
education,Samson Memorial Library,7590.0,0.0
education,Poy Sippi Public Library,7590.0,0.0
education,Soldiers Grove Public Library,7590.0,0.0
education,Wilson Memorial Library,7590.0,0.0
education,Walnut Public Library,7590.0,0.0
education,Allen-Dietzman Public Library,7590.0,0.0
education,Marcus Public Library,7590.0,0.0
education,Cresco Public Library,7590.0,0.0
education,Terril Public Library,7590.0,0.0
education,Hopkinton Public Library,7590.0,0.0
education,Zearing Public Library,7590.0,0.0
education,Rudd Public Library,7590.0,0.0
education,Hubbard Public Library,7590.0,0.0
education,Rusk County Community Library,7590.0,0.0
education,Thorp Public Library,7590.0,0.0
education,Burnett Community Library,7590.0,0.0
education,Tomahawk Public Library,7590.0,0.0
education,Albert City Public Library,7590.0,0.0
education,Public Resource Technology Center,7590.0,0.0
education,Hospers Public Library,7590.0,0.0
education,Montello Public Library,7590.0,0.0
education,Gays Mills Public Library,7590.0,0.0
education,Westboro Public Library,7590.0,0.0
education,Whitehall Public Library,7590.0,0.0
education,Linn Grove Public Library,7590.0,0.0
education,Warwick Free Public Library,7590.0,0.0
education,New Lisbon Memorial Library,7590.0,0.0
education,Wellfleet Public Library,7590.0,0.0
education,Strum Public Library,7590.0,0.0
education,Lena Public Library,7590.0,0.0
education,Hancock Public Library,7590.0,0.0
education,Ontario Public Library,7590.0,0.0
education,Lied Public Library,7590.0,0.0
education,Lu Verne Public Library,7590.0,0.0
education,Radcliffe Public Library,7590.0,0.0
education,Kiowa Public Library,7590.0,0.0
education,O'Neill Public Library,7590.0,0.0
education,Lawton Memorial Library,7590.0,0.0
education,Hamlin Memorial Library,7590.0,0.0
education,Mineral Point Public Library,7590.0,0.0
education,Fontanelle Public Library,7590.0,0.0
education,Rockwell Public Library,7590.0,0.0
education,Suring Area Public Library,7590.0,0.0
education,Elk Horn Public Library,7590.0,0.0
education,Eckstein Memorial Library,7590.0,0.0
education,Leon-Saxeville Public Library,7590.0,0.0
education,Pocahontas Public Library,7590.0,0.0
education,Grantsburg Public Library,7590.0,0.0
education,Juanita Earp Media Center,7590.0,0.0
education,Kothe Memorial Library,7590.0,0.0
education,Necedah Memorial Library,7590.0,0.0
education,Stacyville Public Library,7590.0,0.0
education,Keosauqua Public Library,7590.0,0.0
education,Lake Mills Public Library,7590.0,0.0
education,Rib Lake Public Library,7590.0,0.0
education,Kewaunee Public Library,7590.0,0.0
education,Elroy Public Library,7590.0,0.0
education,Neshkoro Public Library,7590.0,0.0
education,Oconto Falls Community Library,7590.0,0.0
education,Lone Rock Community Library,7590.0,0.0
education,Kendall Public Library,7590.0,0.0
education,Farnsworth Public Library,7590.0,0.0
education,Neillsville Public Library,7590.0,0.0
education,Fenton Public Library,7590.0,0.0
education,Redgranite Public Library,7590.0,0.0
education,Crawford Public Library,7585.0,0.0
others,Grassroot Soccer,7585.0,0.0
education,Thomas County Library,7579.0,0.0
education,Talmage Public Library,7579.0,0.0
education,Hildreth Public Library,7579.0,0.0
education,Formoso Public Library,7579.0,0.0
education,Spalding Public Library,7575.0,0.0
growth,Fort Hancock/Hudspeth County Public Library,7573.0,0.0
education,Ransom Public Library,7565.0,0.0
education,Osmond Public Library,7565.0,0.0
education,Lyon County Library District #1,7560.0,0.0
education,Syracuse Public Library,7550.0,0.0
education,Ulysses Township Library,7534.0,0.0
education,Graves Public Library,7525.0,0.0
growth,REFORM Alliance,7520.0,0.0
education,Utica Public Library District,7515.0,0.0
education,Clarks Public Library,7515.0,0.0
education,Wakefield Public Library,7510.0,0.0
education,Oakdale Public Library,7510.0,0.0
education,Florence Public Library,7510.0,0.0
growth,Newton County Public Library,7504.0,0.0
growth,Rhoads Memorial Library,7504.0,0.0
others,White Center Community Development Association,7500.0,0.0
others,Seattle Storm Foundation,7500.0,0.0
others,LifeWire,7500.0,0.0
education,American Association for the Advancement of Science,7500.0,0.0
health,Our Little Brothers and Sisters of Haiti,7500.0,0.0
others,Children and Youth Justice Center,7500.0,0.0
education,Mercer Area Library,7498.0,0.0
education,Tiskilwa Township Library,7498.0,0.0
education,M-C River Valley Public Library District,7498.0,0.0
education,Ellis Public Library,7490.0,0.0
others,National Network For Youth Inc,7489.0,0.0
education,Meadowlark Library,7465.0,0.0
education,Midfield Public Library,7460.0,0.0
education,Webermeier Memorial Library,7440.0,0.0
education,Bronson Public Library,7440.0,0.0
education,Milligan Public Library,7440.0,0.0
education,Sumpter Township Library,7429.0,0.0
education,South County Public Library District,7429.0,0.0
education,Belle Fourche Public Library,7429.0,0.0
education,Barry Public Library,7429.0,0.0
education,White Hall Township Library,7429.0,0.0
education,Golconda Public Library,7429.0,0.0
education,Carrier Mills-Stonefort Public Library District,7429.0,0.0
education,Shawneetown Public Library,7429.0,0.0
education,Saint Edward Public Library,7428.0,0.0
others,Washington Hospital Center Foundation,7400.0,0.0
education,Hemingford Public Library,7397.0,0.0
education,Marseilles Public Library,7378.0,0.0
growth,Traverse Area District Library,7375.0,0.0
education,White City Public Library,7369.0,0.0
education,Hanover Township Library,7360.0,0.0
education,Cutler Public Library,7360.0,0.0
education,Olmsted Public Library,7360.0,0.0
education,Galatia Public Library District,7360.0,0.0
education,Girard Township Library,7360.0,0.0
education,Dahlgren Public Library,7360.0,0.0
education,Slater Public Library,7360.0,0.0
education,Lewistown Carnegie Public Library District,7360.0,0.0
education,Grayville Carnegie Public Library,7360.0,0.0
education,Valley District Library,7360.0,0.0
education,Mounds Public Library,7360.0,0.0
education,Dongola Public Library District,7360.0,0.0
education,Brownsville Free Public Library,7360.0,0.0
education,Mount Jewett Memorial Library,7360.0,0.0
education,Greenup Township Carnegie Library,7360.0,0.0
education,Price James Memorial Library,7360.0,0.0
education,Roodhouse Public Library,7360.0,0.0
education,Royalton Public Library District,7360.0,0.0
education,Neponset Public Library,7360.0,0.0
education,Ramsey Public Library,7360.0,0.0
education,Dodge Memorial Public Library District,7360.0,0.0
education,Leepertown Township Public Library,7360.0,0.0
education,A H Brown Public Library,7359.0,0.0
education,Minatare Public Library,7359.0,0.0
education,Erie City Public Library,7340.0,0.0
education,Auburn Memorial Library,7328.0,0.0
education,Elven A. Butterfield Memorial Neligh Public Library,7315.0,0.0
education,Dvoracek Memorial Library,7315.0,0.0
education,Goessel Public Library,7300.0,0.0
education,Crete Public Library,7300.0,0.0
education,Centralia Community Library,7300.0,0.0
education,Brewton Public Library,7300.0,0.0
education,Gordon City Library,7300.0,0.0
education,Hayneville/Lowndes Public Library,7300.0,0.0
education,Lydia Bruun Woods Memorial Library,7300.0,0.0
education,Hot Springs Public Library,7298.0,0.0
education,Colby Public Library,7290.0,0.0
education,Abbotsford Public Library,7290.0,0.0
education,Graettinger Public Library,7290.0,0.0
education,Guttenberg Public Library,7290.0,0.0
education,Taylor Memorial Library,7290.0,0.0
education,Estherville Public Library,7290.0,0.0
education,Tice Public Library,7290.0,0.0
education,Hartley Public Library,7290.0,0.0
education,Red Cliff Public Library,7290.0,0.0
education,Nenana Public Library,7285.0,0.0
education,Nigel Sprouse Memorial Library,7259.0,0.0
education,Ashley Public Library,7238.0,0.0
education,Amargosa Valley Community Library,7215.0,0.0
education,Orchard Public Library,7215.0,0.0
education,Verdigre Public Library,7215.0,0.0
education,Spearville Township Library,7215.0,0.0
education,Norwich Public Library,7215.0,0.0
education,Beatty Library District,7215.0,0.0
education,Lakeside Public Library,7215.0,0.0
growth,Embudo Valley Library,7212.0,0.0
growth,Priest River Public Library,7209.0,0.0
growth,Sidney Public Library,7209.0,0.0
growth,Gooding Public Library,7209.0,0.0
growth,Rigby Public Library,7209.0,0.0
growth,McCall Public Library,7209.0,0.0
growth,Meridian Free Library District,7209.0,0.0
growth,Ronan City Library,7209.0,0.0
growth,Lewistown Public Library,7209.0,0.0
growth,Kellogg Public,7209.0,0.0
growth,Polson City Library,7209.0,0.0
growth,Manhattan Community Library,7209.0,0.0
education,Lanark Public Library,7200.0,0.0
education,Little Priest Tribal College/Public Library,7190.0,0.0
education,Wilson Public Library,7190.0,0.0
education,Ukiah Public Library,7190.0,0.0
education,Parowan Public Library,7190.0,0.0
education,Tecumseh Public Library,7190.0,0.0
education,Goodall City Library,7190.0,0.0
education,Pilot Rock Public Library,7190.0,0.0
education,Gothenburg Public Library,7190.0,0.0
education,Hartington Public Library,7190.0,0.0
education,Delaware Township Library,7190.0,0.0
education,Oxford Municipal Library,7190.0,0.0
education,Humphrey Public Library,7190.0,0.0
education,Wagner Community Library,7190.0,0.0
education,Sanpete County Bookmobile Library,7190.0,0.0
education,Pahrump Community Library,7190.0,0.0
education,Effingham Community Library,7190.0,0.0
education,Milford Public Library,7190.0,0.0
education,Storey County Library,7190.0,0.0
education,White Pine County Library,7190.0,0.0
education,Hardtner Public Library,7190.0,0.0
education,McCook Public Library,7190.0,0.0
education,Creighton Public Library,7190.0,0.0
education,Teton County Library,7190.0,0.0
education,Newton Town Library,7190.0,0.0
education,Manti Public Library,7190.0,0.0
education,Barnes Reading Room,7190.0,0.0
education,Lindsborg Community Library,7190.0,0.0
education,Howells Public Library,7190.0,0.0
education,Hillcrest Public Library,7190.0,0.0
education,Independent Township Library,7190.0,0.0
education,Bob & Wauenta Burkley Library & Resource Center,7190.0,0.0
education,Herington Public Library,7190.0,0.0
education,Gunnison Civic Library,7190.0,0.0
education,Montezuma Township Library,7190.0,0.0
education,Pioneer Memorial Library,7190.0,0.0
education,Caney City Library,7190.0,0.0
education,Bruun Memorial Library,7190.0,0.0
education,Enderlin Municipal Library,7185.0,0.0
education,Viola Public Library District,7169.0,0.0
education,Tripp County Library,7160.0,0.0
education,Satsuma Public Library,7150.0,0.0
education,Tidioute Public Library,7134.0,0.0
education,Ohio Public Library District,7110.0,0.0
education,Rosiclare Memorial Public Library,7110.0,0.0
education,Salem Township Public Library,7110.0,0.0
education,Wayne City Public Library,7110.0,0.0
education,Sesser Public Library,7110.0,0.0
education,Ira C Reed Public Library,7110.0,0.0
growth,Estancia Public Library,7105.0,0.0
education,York Township Public Library,7100.0,0.0
education,Pueblo of San Felipe,7100.0,0.0
growth,Nicholas County Memorial Library,7078.0,0.0
growth,Metcalfe County Public Library,7078.0,0.0
growth,Bayard Public Library,7074.0,0.0
growth,Jemez Springs Community Library,7074.0,0.0
growth,Glenwood Community Library,7074.0,0.0
growth,David Cargo Public Library,7074.0,0.0
growth,Fred Macaron Public Library,7074.0,0.0
growth,Moise Memorial Library,7074.0,0.0
education,Gustavus Public Library,7070.0,0.0
education,Mason Memorial Public Library,7066.0,0.0
education,Edward Chipman Public Library,7059.0,0.0
growth,Lake Odessa Community Library,7054.0,0.0
growth,Grace A. Dow Memorial Library,7054.0,0.0
growth,West Iron District Library,7054.0,0.0
growth,Tamarack Public Library,7054.0,0.0
growth,Ashley District Library,7054.0,0.0
growth,Munising School-Public Library,7054.0,0.0
growth,Jacquelin E. Opperman Memorial Library,7054.0,0.0
growth,Bessemer Public Library,7054.0,0.0
growth,Central Lake District Library,7054.0,0.0
growth,Tahquamenon Area Public Library,7054.0,0.0
growth,Pentwater Township Library,7054.0,0.0
growth,Suttons Bay Area District Library,7054.0,0.0
growth,Sandusky District  Library,7054.0,0.0
growth,McBain Community Library,7054.0,0.0
growth,Walton Erickson Public Library,7054.0,0.0
growth,Helena Township Public Library,7054.0,0.0
growth,Homer Public Library,7054.0,0.0
growth,Hesperia Public Library,7054.0,0.0
growth,Harrison Community Library,7054.0,0.0
growth,Oscoda County Library,7054.0,0.0
growth,Gladstone Area School & Public Library,7054.0,0.0
growth,L'Anse Area School-Public Library,7054.0,0.0
growth,Rudyard School-Public Library,7054.0,0.0
growth,Indian River Area Library,7054.0,0.0
growth,Rawson Memorial Library,7054.0,0.0
growth,Manistique School & Public Library,7054.0,0.0
growth,Thompson Home Public Library,7054.0,0.0
growth,Brown City Public Library,7054.0,0.0
growth,White Cloud Community Library,7054.0,0.0
growth,Jordan Valley District Library,7054.0,0.0
growth,Bad Axe Public Library,7054.0,0.0
growth,Siloam Springs Public Library,7019.0,0.0
education,Marion-Perry County Library,7015.0,0.0
growth,Columbus Village Library,7005.0,0.0
growth,Cochiti Lake Library,7005.0,0.0
growth,Eleanor Daggett Memorial Library,7005.0,0.0
growth,Fort Sumner Public Library,7005.0,0.0
growth,Ruidoso Public Library,7005.0,0.0
growth,Hatch Public Library,7005.0,0.0
others,Washington Public Affairs Network,7000.0,0.0
education,Tallassee Community Library,7000.0,0.0
education,Colchester District Library,7000.0,0.0
health,Premier Medical Systems Nig. Ltd,7000.0,0.0
others,Zion Preparatory Academy,7000.0,0.0
growth,Burritt Memorial Library,6977.0,0.0
growth,West Yellowstone Public Library,6959.0,0.0
education,Nashville Public Library,6940.0,0.0
education,Wyoming Public Library District,6928.0,0.0
growth,Cuba Community Library,6910.0,0.0
growth,Altamont Public Library,6908.0,0.0
growth,Palmer Public Library,6908.0,0.0
growth,Minor Hill Community Library,6908.0,0.0
education,Estacada Public Library,6890.0,0.0
education,Cherryvale Public Library,6871.0,0.0
growth,Alpine County Library,6861.0,0.0
education,Bethany Public Library,6859.0,0.0
education,Carnegie-Schuyler Library,6859.0,0.0
education,Milford District Library,6859.0,0.0
growth,Halls Public Library,6839.0,0.0
growth,Ridgely Public Library,6839.0,0.0
growth,Trimble Public Library,6839.0,0.0
growth,Beersheba Springs Public Library,6839.0,0.0
growth,Marie Ellison Memorial Community Library,6839.0,0.0
growth,Tracy City Public Library,6839.0,0.0
growth,Cosby Community Library,6839.0,0.0
growth,Bath County Memorial Library,6833.0,0.0
growth,Leslie County Public Library,6829.0,0.0
education,Goshen County Library,6815.0,0.0
education,Helen Keller Public Library,6800.0,0.0
education,Marengo County Public Library,6800.0,0.0
education,Wetumpka Public Library,6800.0,0.0
education,Moody Public Library,6800.0,0.0
education,James C. Poole Jr. Memorial Library (Grenne County),6800.0,0.0
education,Rogersville Public Library,6800.0,0.0
education,Grant Public Library,6800.0,0.0
education,Russellville Public Library,6800.0,0.0
education,Mose Hudson Tapia Public Library,6800.0,0.0
education,Abbeville Memorial Library,6800.0,0.0
education,Opp Public Library,6800.0,0.0
growth,Edgewood Community Library,6794.0,0.0
education,Whitewood Public Library,6790.0,0.0
education,Creve Coeur Public Library District,6790.0,0.0
education,Macon Public Library,6790.0,0.0
education,Albion Area Public Library,6790.0,0.0
education,Carlinville Public Library,6790.0,0.0
education,Venice Public Library,6790.0,0.0
education,Sarcoxie Public Library,6790.0,0.0
education,Dallas County Library,6790.0,0.0
education,Grundy County Library,6790.0,0.0
education,Nokomis Public Library,6790.0,0.0
education,Henry C Adams Memorial Library,6790.0,0.0
education,Phoebe Aperson Hearst Library,6790.0,0.0
education,Mercer County Library,6790.0,0.0
education,Grand Prairie Of The West Public Library District,6790.0,0.0
education,Elwood Township Carnegie Library,6790.0,0.0
education,Beardstown Houston Memorial Library,6790.0,0.0
education,Monroe City Public Library,6790.0,0.0
education,Ray County Library,6790.0,0.0
education,Eureka Public Library District,6790.0,0.0
education,Viborg Public Library,6790.0,0.0
education,Mt Vernon Public Library,6790.0,0.0
education,Montgomery City Public Library,6790.0,0.0
education,Spoon River Public Library District,6790.0,0.0
education,Bollinger County Library,6790.0,0.0
education,McCoy Memorial Library,6790.0,0.0
education,Hickory County Library,6790.0,0.0
education,Bunker Hill Public Library,6790.0,0.0
education,Elizabeth Titus Memorial Library,6790.0,0.0
education,Lewis Library Of Glasgow,6790.0,0.0
education,Marceline Carnegie Library,6790.0,0.0
education,Paxton Carnegie Library,6790.0,0.0
education,Crystal City Public Library,6790.0,0.0
education,Greenville Public Library,6790.0,0.0
education,Ashland Public Library District,6790.0,0.0
education,Pearl City Public Library District,6790.0,0.0
education,Morgan County Library,6790.0,0.0
education,Manito Public Library District,6790.0,0.0
education,Saltsburg Free Library,6790.0,0.0
education,Holden Public Library,6790.0,0.0
education,Deadwood Public Library,6790.0,0.0
education,Mason City Public Library District,6790.0,0.0
education,Cambridge Public Library District,6790.0,0.0
education,Mt. Olive Public Library,6790.0,0.0
education,Casey Township Library,6790.0,0.0
education,Polo Public Library,6790.0,0.0
education,Puxico Public Library,6790.0,0.0
education,Sweet Springs Public Library,6790.0,0.0
education,Four Star Public Library District,6790.0,0.0
education,Shelbina Carnegie Public Library,6790.0,0.0
education,Carmi Public Library,6790.0,0.0
education,Louisiana Public Library,6790.0,0.0
education,Wellsville Public Library,6790.0,0.0
education,Canton Public Library,6790.0,0.0
education,Lovington Public Library District,6790.0,0.0
education,Ina Pullen Smallwood Memorial Library,6785.0,0.0
growth,Knott County Public Library,6764.0,0.0
growth,Cumberland County Public Library,6764.0,0.0
growth,Green County Public Library,6764.0,0.0
growth,Casey County Public Library,6764.0,0.0
growth,Hickman County Memorial Library,6764.0,0.0
growth,Rhett Brown Memorial,6764.0,0.0
growth,Adair County Public Library,6764.0,0.0
growth,Grant County Public Library,6764.0,0.0
growth,Lyon County Public Library,6764.0,0.0
growth,Larue County Public Library,6764.0,0.0
growth,Butler County Public Library,6764.0,0.0
growth,Edmonson County Public Library,6764.0,0.0
growth,William B. Harlan Memorial Library,6764.0,0.0
growth,Wolfe County Public Library,6764.0,0.0
growth,McCreary County Public Library,6764.0,0.0
growth,Owsley County Public Library,6764.0,0.0
growth,Clinton County Public Library,6764.0,0.0
growth,Hart County Public Library,6764.0,0.0
growth,Magoffin County Public Library,6764.0,0.0
growth,Menifee County Public Library,6764.0,0.0
education,Blanche R. Solomon Memorial Library,6736.0,0.0
growth,Capitan Public Library,6725.0,0.0
growth,Abiquiu Public Library,6725.0,0.0
education,Millbrook Public Library,6704.0,0.0
education,Guntersville Public Library,6700.0,0.0
education,Daphne Public Library,6700.0,0.0
growth,Albert W. Thompson Memorial Library,6630.0,0.0
education,Sumter County Library System (Ruby Pickens Tartt Public Library),6610.0,0.0
others,Successful Schools in Action,6608.0,0.0
education,Dewey County Library,6600.0,0.0
education,Hawkins Area Library,6594.0,0.0
education,Lawrence County Public Library,6564.0,0.0
education,Hartselle Public Library,6564.0,0.0
education,Cherokee County Public Library,6530.0,0.0
education,Clayton Public Library District,6500.0,0.0
education,Lakeshores Library System,6500.0,0.0
growth,Trigg County  Library,6490.0,0.0
education,Crownpoint Institute of Technology,6468.0,0.0
education,Blandinsville-Hire Library District,6454.0,0.0
growth,Fairfax Public Library,6452.0,0.0
education,Thomasville Public Library,6450.0,0.0
growth,Deer Lodge Public Library,6384.0,0.0
growth,Geary Public Library,6383.0,0.0
growth,Crescent Community Library,6383.0,0.0
growth,Allen Public Library,6383.0,0.0
growth,Hinton Public Library,6383.0,0.0
education,Union Springs Public Library,6376.0,0.0
education,Parnell Memorial Library,6375.0,0.0
growth,Waynoka Public Library,6314.0,0.0
growth,Addie Davis Memorial Library,6314.0,0.0
growth,Inola Public Library,6314.0,0.0
growth,Medford Public Library,6314.0,0.0
growth,Cartwright Memorial Library,6314.0,0.0
growth,Pawnee Public Library,6314.0,0.0
growth,Okeene Public Library,6314.0,0.0
growth,Grandfield Public Library,6314.0,0.0
growth,Ethel Briggs Memorial Library,6314.0,0.0
growth,Tipton County Public Library,6309.0,0.0
growth,Anna Porter Public Library,6309.0,0.0
education,Chilton-Clanton Public Library,6300.0,0.0
education,Foley Public Library,6300.0,0.0
education,Earle A. Rainwater Memorial Library,6300.0,0.0
education,Aniak Public Library,6285.0,0.0
growth,Eagle Nest Public Library,6195.0,0.0
growth,Robertson County Public Library,6191.0,0.0
education,Clay Center Public Library,6179.0,0.0
education,Cold Bay Public Library,6174.0,0.0
education,Institute of American Indian Arts,6098.0,0.0
education,Southwestern Indian Polytechnic Institute,6098.0,0.0
education,Bucklin Public Library,6085.0,0.0
education,Kismet Public Library,6085.0,0.0
education,Washington Library,6085.0,0.0
education,Burns Public Library,6085.0,0.0
education,Kittitas Public Library,6010.0,0.0
growth,Liberty County Library,6009.0,0.0
others,Childhaven,6000.0,0.0
others,African American Dollars for Scholars,6000.0,0.0
education,Baltimore County Public Library,6000.0,0.0
others,American Friends of Phelophepa Train,6000.0,0.0
education,Paiute Indian Tribe of Utah,6000.0,0.0
education,Koyuk Public Library,5985.0,0.0
growth,Shepherdstown Public Library,5958.0,0.0
growth,Gassaway Public Library,5889.0,0.0
growth,Monroe County Public Library,5889.0,0.0
growth,Logan Area Public Library,5889.0,0.0
growth,Tygart Valley Public Library,5889.0,0.0
growth,Tyler County Public Library,5889.0,0.0
growth,Garrard County Public Library,5889.0,0.0
growth,Breathitt County Public Library,5889.0,0.0
growth,Gilmer Public Library,5889.0,0.0
growth,Southern Area Public Library,5889.0,0.0
growth,Five Rivers Public Library,5889.0,0.0
growth,Sutton Public Library,5889.0,0.0
growth,Owen County Public Library,5889.0,0.0
growth,Gallatin County Public Library,5889.0,0.0
growth,Cowen Public Library,5889.0,0.0
growth,Paw Paw Public Library,5889.0,0.0
growth,Dora B Woodyard Public Library,5889.0,0.0
growth,Webster-Addison Public Library,5889.0,0.0
growth,Capon Bridge Public Library,5889.0,0.0
growth,Helvetia Public Library,5889.0,0.0
growth,Hundred Public Library,5889.0,0.0
growth,Piedmont Public Library,5889.0,0.0
growth,Hampshire County Public Library,5889.0,0.0
growth,Pine Grove Public Library,5889.0,0.0
growth,Dorchester County Library System,5885.0,0.0
growth,Stroud Public Library,5877.0,0.0
